date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:13:35	656/656	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Jan%202017%2011:13:37%20GMT	http://69662.musicallyfame.co/robots.txt		(from )
19:13:36	11281/11281	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2011:13:37%20GMT	http://69662.musicallyfame.co/	C:/My%20Web%20Sites/Musical.ly%20Landing%20%20Page/69662.musicallyfame.co/index.html	(from )
19:13:36	122540/122540	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2020:05:29%20GMT	http://musicallyfame.co/css/bootstrap.min.css	C:/My%20Web%20Sites/Musical.ly%20Landing%20%20Page/musicallyfame.co/css/bootstrap.min.css	(from http://69662.musicallyfame.co/)
19:13:37	4665/4665	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2020:05:30%20GMT	http://musicallyfame.co/css/style.css	C:/My%20Web%20Sites/Musical.ly%20Landing%20%20Page/musicallyfame.co/css/style.css	(from http://69662.musicallyfame.co/)
19:13:37	14238/14238	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2020:05:30%20GMT	http://musicallyfame.co/css/sweet-alert.css	C:/My%20Web%20Sites/Musical.ly%20Landing%20%20Page/musicallyfame.co/css/sweet-alert.css	(from http://69662.musicallyfame.co/)
19:13:39	10452/10452	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2023%20Jan%202017%2020:05:40%20GMT	http://musicallyfame.co/js/sweet-alert.min.js	C:/My%20Web%20Sites/Musical.ly%20Landing%20%20Page/musicallyfame.co/js/sweet-alert.min.js	(from http://69662.musicallyfame.co/)
19:13:40	1006/1006	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202017%2020:05:35%20GMT	http://musicallyfame.co/img/bg.png	C:/My%20Web%20Sites/Musical.ly%20Landing%20%20Page/musicallyfame.co/img/bg.png	(from http://musicallyfame.co/css/style.css)
19:13:41	68890/68890	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2023%20Jan%202017%2020:05:39%20GMT	http://musicallyfame.co/js/bootstrap.js	C:/My%20Web%20Sites/Musical.ly%20Landing%20%20Page/musicallyfame.co/js/bootstrap.js	(from http://69662.musicallyfame.co/)
19:13:41	2918/2918	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202017%2020:05:36%20GMT	http://musicallyfame.co/img/user-form.png	C:/My%20Web%20Sites/Musical.ly%20Landing%20%20Page/musicallyfame.co/img/user-form.png	(from http://musicallyfame.co/css/style.css)
19:13:42	2400/2400	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202017%2020:05:36%20GMT	http://musicallyfame.co/img/mail-form.png	C:/My%20Web%20Sites/Musical.ly%20Landing%20%20Page/musicallyfame.co/img/mail-form.png	(from http://musicallyfame.co/css/style.css)
19:13:44	28961/28961	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202017%2020:05:36%20GMT	http://musicallyfame.co/img/bg-bloc.png	C:/My%20Web%20Sites/Musical.ly%20Landing%20%20Page/musicallyfame.co/img/bg-bloc.png	(from http://musicallyfame.co/css/style.css)
19:13:46	273199/273199	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a47-42b2f%22	https://code.jquery.com/jquery-1.10.2.js	C:/My%20Web%20Sites/Musical.ly%20Landing%20%20Page/code.jquery.com/jquery-1.10.2.js	(from http://69662.musicallyfame.co/)
19:13:47	72049/72049	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2020:05:36%20GMT	http://musicallyfame.co/img/bg-vid.jpg	C:/My%20Web%20Sites/Musical.ly%20Landing%20%20Page/musicallyfame.co/img/bg-vid.jpg	(from http://musicallyfame.co/css/style.css)
